1→21379,2
2→30805,16
3→35779,18
4→38066,6
5→29742,2
6→40518,4
7→38402,2
8→37678,2
9→22198,2
10→26538,10
11→35913,2
12→39524,16
13→20409,2
14→24895,30
15→25947,6
16→34835,2
17→31923,2
18→39140,90
19→21983,4
20→20851,46
21→23075,2
22→26507,4
23→23849,6
24→30462,14
25→40715,2
26→40527,2
27→24062,14
28→22395,10
29→26735,2
30→32563,4
31→38059,2
32→40143,18
33→24406,22
34→37011,36
35→35746,2
36→23411,12
37→35574,4
38→26163,2
39→32751,2
40→21346,36
41→20294,4
42→33445,8
43→36137,2
44→21180,2
45→20052,34
46→34660,2
47→35580,4
48→28831,2
49→26197,22
50→20260,26
51→23081,2
52→34036,2
53→30496,6
54→27421,10
55→33213,2
56→39729,10
57→25376,4
58→36761,4
59→33021,68
60→25144,18
61→20436,2
62→25978,2
63→29789,2
64→34204,6
65→31776,46
66→28207,6
67→39147,4
68→38095,4
69→20856,84
70→27841,22
71→31118,2
72→39711,2
73→36759,8
74→28451,2
75→22957,2
76→34832,2
77→22359,4
78→25940,26
79→24268,74
80→29577,72
81→35128,2
82→31588,2
83→35914,34
84→29745,32
85→38405,6
86→32903,96
87→26369,4
88→33489,14
89→39381,20
90→32769,84
91→23429,48
92→29113,14
93→26967,10
94→27089,2
95→24091,28
96→33026,8
97→25143,18
98→36554,170
99→22366,2
100→34203,48
101→27426,20
102→33214,4
103→25371,12
104→20603,4
105→36766,200
106→22530,42
107→25715,10
108→33670,2
109→36302,2
110→20267,4
111→39178,28
112→25527,4
113→20869,138
114→39944,4
115→21187,4
116→36130,4
117→28238,6
118→23416,46
119→30001,14
120→26164,8
121→21341,2
122→32564,2
123→24401,2
124→40144,2
125→21173,2
126→37016,2
127→23624,26
128→26356,54
129→40520,2
130→24859,30
131→21517,34
132→23072,2
133→26500,6
134→30465,208
135→40712,2
136→38608,2
137→28467,2
138→30498,6
139→25378,2
140→39727,150
141→39515,6
142→25976,22
143→28655,4
144→29787,4
